pass,resort,link,short-name,High Speed Quads,Triple Chairs,Double Chairs,Gondolas & Trams,High Speed Sixes,Quad Chairs,Surface Lifts,Eight Person Lifts,lat,lng,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing,Summit,Vertical Drop,Base,Total Lifts
ikon-pass,Mammoth Mountain,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort,mammoth-mountain-ski-area,9.0,6.0,4.0,3.0,2.0,1.0,,,37.6307692,-119.0326342,"30""","70""","66""","55""","51""","26""","8""","0.2""",,,,,150,3 mi,3500 ac,700 ac,15%,48%,24%,13%,,11053',3100',7953',25.0
ikon-pass,Mt. Bachelor,https://www.onthesnow.com/oregon/mt-bachelor/ski-resort,mt-bachelor,8.0,3.0,,,,1.0,3.0,,44.002974,-121.6780089,"20""","105""","79""","87""","62""","39""","10""","0""",,,,,119,4 mi,4323 ac,2.5 mi,19%,55%,22%,3%,,9065',3365',5700',15.0
ikon-pass,Mt. Buller,https://www.onthesnow.com/australia/mt-buller/ski-resort,mt-buller,,3.0,1.0,,1.0,8.0,9.0,,-37.1465655,146.4506354,,,,,,,,"9""","15""","19""","7""","0.5""",61,1.6 mi,,196 ac,5%,39%,56%,,10 ac,5922',1411',4511',22.0
ikon-pass,Mt. Norquay,https://www.onthesnow.com/alberta/ski-banff-norquay/ski-resort,ski-banff-norquay,1.0,,1.0,,,2.0,2.0,,51.2015844,-115.5993428,"14""","20""","20""","20""","21""","10""","0.2""","0""",,,,,60,0.7 mi,190 ac,162 ac,38%,25%,37%,,20 ac,8038',1650',5397',6.0
ikon-pass,Palisades Tahoe,https://www.onthesnow.com/california/squaw-valley-usa/ski-resort,squaw-valley-usa,5.0,12.0,5.0,2.0,4.0,1.0,5.0,,39.1906091,-120.2483913,"31""","78""","77""","79""","72""","32""","5""","0.4""",,,,,245,3.2 mi,6000 ac,1000 ac,,,,,,9050',2850',6200',34.0
ikon-pass,Panorama Mountain,https://www.onthesnow.com/british-columbia/panorama-mountain/ski-resort,panorama-mountain,2.0,1.0,1.0,1.0,,2.0,3.0,,50.4602801,-116.2380671,"4""","32""","41""","43""","47""","10""","0""",,,,,,139,4 mi,2975 ac,1140 ac,10%,35%,21%,34%,100 ac,8038',4265',3773',10.0
ikon-pass,Revelstoke,https://www.onthesnow.com/british-columbia/revelstoke-mountain/ski-resort,revelstoke-mountain,2.0,,,1.0,,1.0,2.0,,50.998115,-118.195672,"9""","64""","56""","44""","47""","18""","0""",,,,,,59,9.5 mi,3121 ac,150 ac,,,,,,7300',5620',1680',6.0
ikon-pass,Snow Summit,https://www.onthesnow.com/california/snow-summit/ski-resort,snow-summit,,4.0,5.0,,,2.0,5.0,,34.2364081,-116.8892717,"6""","22""","29""","21""","16""","0""",,,,,,,27,1.2 mi,240 ac,240 ac,19%,48%,26%,7%,150 ac,8200',1200',7000',16.0
ikon-pass,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort,snowbasin,2.0,3.0,,3.0,1.0,,3.0,,41.2161404,-111.8571529,"12""","67""","61""","65""","43""","13""","0""",,,,,,41.8 mi,3.5 mi,3000 ac,24.9 mi,7%,37%,47%,9%,,9350',2900',6450',12.0
ikon-pass,Snowbird,https://www.onthesnow.com/utah/snowbird/ski-resort,snowbird,7.0,,4.0,1.0,,,2.0,,40.5829259,-111.6556388,"19""","87""","90""","84""","70""","61""","14""","0""",,,,,140,2.5 mi,2500 ac,,8%,25%,43%,24%,,11000',3240',7760',14.0
ikon-pass,Snowshoe Mountain,https://www.onthesnow.com/west-virginia/snowshoe-mountain-resort/ski-resort,snowshoe-mountain-resort,3.0,6.0,,,,,3.0,,38.4118566,-79.9960444,"5""","19""","34""","31""","26""","0.2""","0""",,,,,,61,1.5 mi,257 ac,257 ac,40%,33%,25%,2%,86 ac,4848',1500',3348',12.0
ikon-pass,Solitude Mountain Resort,https://www.onthesnow.com/utah/solitude-mountain-resort/ski-resort,solitude-mountain-resort,4.0,1.0,1.0,,,2.0,1.0,,40.619852,-111.591885,"17""","72""","76""","81""","64""","23""","0""",,,,,,87,3 mi,1200 ac,150 ac,5%,31%,46%,18%,,10488',2494',7994',9.0
ikon-pass,Steamboat,https://www.onthesnow.com/colorado/steamboat/ski-resort,steamboat,6.0,5.0,2.0,1.0,1.0,,3.0,,40.4849769,-106.8317158,"12""","78""","63""","63""","44""","14""","0""",,,,,,169,3 mi,2965 ac,375 ac,,,,,30 ac,10568',3668',6900',18.0
ikon-pass,Stratton Mountain,https://www.onthesnow.com/vermont/stratton-mountain/ski-resort,stratton-mountain,1.0,1.0,1.0,1.0,4.0,2.0,1.0,,43.1134212,-72.9081354,"4""","32""","26""","40""","19""","2""","0""",,,,,,99,3 mi,670 ac,474 ac,,,,,,3875',2003',1872',11.0
ikon-pass,Sugarbush,https://www.onthesnow.com/vermont/sugarbush/ski-resort,sugarbush,5.0,2.0,1.0,,,5.0,3.0,,44.1359019,-72.8944139,"15""","54""","46""","47""","44""","14""","0""",,,,,,111,3 mi,581 ac,406 ac,23%,42%,27%,7%,,4083',2600',1483',16.0
ikon-pass,Sugarloaf,https://www.onthesnow.com/maine/sugarloaf/ski-resort,sugarloaf,2.0,1.0,5.0,,,3.0,2.0,,45.0314444,-70.3131231,"11""","32""","27""","39""","23""","12""","0""",,,,,,162,3.5 mi,1240 ac,618 ac,22%,32%,26%,20%,,4237',2820',1417',13.0
ikon-pass,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort,sun-valley,10.0,3.0,1.0,1.0,,,3.0,,43.6971294,-114.3517172,"6""","55""","37""","43""","24""","8""","0""",,,,,,120,3 mi,2054 ac,645 ac,,,,,,9150',3400',5750',18.0
ikon-pass,Sunday River,https://www.onthesnow.com/maine/sunday-river/ski-resort,sunday-river,4.0,3.0,1.0,1.0,,5.0,4.0,,44.4734182,-70.8568727,"9""","28""","25""","37""","18""","6""","0""",,,,,,135,3 mi,878 ac,552 ac,30%,36%,18%,16%,140 ac,3140',2340',800',18.0
ikon-pass,Sunshine Village,https://www.onthesnow.com/alberta/sunshine-village/ski-resort,sunshine-village,7.0,,,1.0,,2.0,1.0,,51.1151858,-115.7632758,"40""","47""","42""","43""","50""","25""","8""","0""",,,,,145,5 mi,3358 ac,,18%,26%,48%,8%,,8957',3510',5446',11.0
ikon-pass,Taos Ski Valley,https://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort,taos-ski-valley,1.0,4.0,1.0,1.0,,3.0,4.0,,36.5959999,-105.4545,"15""","40""","33""","45""","39""","7""","0""",,,,,,110,5 mi,1294 ac,13 mi,14%,16%,30%,40%,,12481',3281',9200',14.0
ikon-pass,The Highlands,https://www.onthesnow.com/michigan/boyne-highlands/ski-resort,boyne-highlands,1.0,4.0,,,,3.0,2.0,,45.46489622,-84.92649966,"4""","30""","47""","30""","11""","0.5""","0""",,,,,,53,1.2 mi,435 ac,400 ac,36%,31%,31%,2%,150 ac,1290',552',745',10.0
ikon-pass,The Summit at Snoqualmie,https://www.onthesnow.com/washington/the-summit-at-snoqualmie/ski-resort,the-summit-at-snoqualmie,2.0,3.0,6.0,,,4.0,5.0,,47.4245711,-121.4164161,"5""","71""","65""","64""","35""","14""","0""",,,,,,65,0.8 mi,1994 ac,5 ac,15%,40%,45%,,541 ac,3865',1025',2840',20.0
ikon-pass,Thredbo Alpine Resort,https://www.onthesnow.com/australia/thredbo-alpine-resort/ski-resort,thredbo-alpine-resort,4.0,,2.0,,,,8.0,,-36.4990449,148.3118522,,,,,,,,"11""","27""","34""","11""","0""",53,3.7 mi,,72 ac,,,,,15 ac,6683',2205',4478',14.0
ikon-pass,Tremblant,https://www.onthesnow.com/quebec/tremblant/ski-resort,tremblant,6.0,1.0,,3.0,,1.0,3.0,,46.1184616,-74.5961852,"5""","38""","47""","48""","29""","7""","0""",,,,,,102,3.7 mi,754 ac,465 ac,19%,30%,37%,13%,,2871',2116',755',14.0
ikon-pass,Windham Mountain,https://www.onthesnow.com/new-york/windham-mountain/ski-resort,windham-mountain,2.0,2.0,1.0,,1.0,,5.0,,42.2937298,-74.2567116,"4""","20""","20""","30""","18""","0.3""","0""",,,,,,18.2 mi,2 mi,285 ac,280 ac,20%,48%,19%,13%,45 ac,3100',1600',1500',11.0
ikon-pass,Winter Park,https://www.onthesnow.com/colorado/winter-park-resort/ski-resort,winter-park-resort,7.0,4.0,6.0,1.0,2.0,,5.0,,39.8916537,-105.7630624,"34""","64""","55""","56""","55""","41""","7""","0""",,,,,168,4.9 mi,3081 ac,313 ac,24%,22%,50%,4%,,12060',3060',9000',25.0
